model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Layered,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.013289032555652724,0.030798434729060867,-1.6613310971196065,3.56295097073571,-0.024988692217447456,0.08828762409609903,0.10158014260367709,-0.013292518507578066,0.5624900248755305,0.05436298810468552,42.04860797585909,0.4204860797585909,0.5483352217889221,0.8,0.7258323891055389,20,20,2.6726815700531006,0.0034562885952886795,True
Stratified,125,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.00974495505845855,0.024943195553309646,-0.9739054343419176,3.9697771898673686,-0.01894520725027094,0.09546946518465882,0.10158014260367709,-0.006110677419018273,0.43267297209403427,0.14894083270974762,51.28634592176232,0.41029076737409853,0.26263057982746385,1.0,0.868684710086268,0,0,0.31346774101257324,,
MarketCap,125,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.009646904654361795,0.02453913493053587,-1.9551698341513863,3.7520294517368864,-0.023371853182307264,0.0892340340044695,0.10158014260367709,-0.012346108599207595,0.43083678894494065,0.13218026252857834,55.17883769301815,0.4414307015441452,0.1835350649548047,1.0,0.9082324675225977,0,0,0.2773590087890625,,
Contribution,125,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.03011190607736202,0.03962120039141382,-1.5634845034722036,3.3205931864829243,-0.026005028617055625,0.0853477372128768,0.10158014260367709,-0.016232405390800286,0.7222466631145081,0.2979052943000556,19.966102432034933,0.15972881945627948,0.3686601631546891,0.936,0.8156699184226555,8,8,0.4096229076385498,,
LASSO,125,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.006665290432913937,0.02524070130463498,-2.692116121283932,3.474830971562006,-0.026562598188496662,0.08394049604220055,0.10158014260367709,-0.01763964656147654,0.5133479376204524,0.14186736902203745,52.440550986847256,0.4195244078947781,0.5512922277020033,0.688,0.7243538861489984,39,39,2.340139627456665,,
MIQP_Gurobi,125,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.010915221756949443,0.026378547556537426,-1.7351393877678272,3.6274745899666407,-0.024706401972175183,0.08971641002904573,0.10158014260367709,-0.011863732574631358,0.5455987108749776,0.1439783269292859,47.310340362856394,0.3784827229028512,0.47660132606387295,0.808,0.7616993369680636,24,24,1.2718596458435059,0.002600290974206267,True
Layered,125,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.01170682245255378,0.03045390930664111,-1.9192182233644886,3.4932654632054727,-0.027791963667711375,0.08637605935757176,0.10158014260367709,-0.015204083246105338,0.5500173404916598,0.04925481871688944,47.829005914633925,0.3826320473170714,0.6160289978826285,0.824,0.6919855010586857,22,22,2.576195001602173,0.0023487861083079696,True
Stratified,150,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.008422548541820604,0.024300205413702106,-1.8972029357380589,3.7328024169987626,-0.02211699559475668,0.08970285119781485,0.10158014260367709,-0.011877291405862245,0.4184962758513197,0.14084369818715467,56.89295312884867,0.3792863541923244,0.2869015479999677,1.0,0.8565492260000162,0,0,0.47168707847595215,,
MarketCap,150,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.0086525493059425,0.023993604793155505,-1.85585147767906,3.7721138465545665,-0.022777132771742398,0.09013240105791609,0.10158014260367709,-0.011447741545761003,0.4063050120833239,0.13864474182464107,58.113465038536695,0.3874231002569113,0.24876796358176587,1.0,0.875616018209117,0,0,0.37430500984191895,,
Contribution,150,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.02737648974920253,0.03361636212866717,-1.416586308544638,3.5398473745503085,-0.021609234800385287,0.08917701954202384,0.10158014260367709,-0.012403123061653254,0.7054858879926602,0.2634764885233356,22.569217482192247,0.15046144988128166,0.2764298445259364,0.96,0.8617850777370318,6,6,0.35321784019470215,,
