model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,coverage_threshold,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,retained_fraction,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Stratified,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.012367894838867834,0.015014849657644293,,-0.7319543322232956,-0.0024350858828021387,-0.020212421768688205,-0.03647555543559822,0.016263133666910012,0.4346023085695413,0.15932068119473994,50.86028719863602,0.5086028719863602,0.16452331587714653,1.0,0.9177383420614267,1.0,0,0,0.1594700813293457,,
Stratified_sector,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.014755520128294375,0.016160673774875716,,-0.8220957423003656,-0.007238410393770269,-0.02280310366645344,-0.03647555543559822,0.013672451769144778,0.47041519733535747,0.053184389092625524,45.089375428754195,0.45089375428754197,0.158483407367557,1.0,0.9207582963162215,1.0,0,0,0.3397214412689209,,
MarketCap,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011968846722653225,0.015257572269863105,,-0.6926397813174521,-0.002982056829358287,-0.019466943163678363,-0.03647555543559822,0.017008612271919854,0.42335061344776226,0.11886423849889531,55.706580390245435,0.5570658039024543,0.1848974833589692,1.0,0.9075512583205154,1.0,0,0,0.15935492515563965,,
MarketCap_sector,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.013738122314664968,0.016644135696923627,,-0.6813001382423943,-0.005816144687527258,-0.01935130863452794,-0.03647555543559822,0.017124246801070275,0.4456208095011469,0.05234293862096956,52.66252657866054,0.5266252657866054,0.19519288729642237,1.0,0.9024035563517888,1.0,0,0,0.27772974967956543,,
Contribution,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.03281079149230943,0.03264569981612231,,-1.0496876233867725,-0.014932471378399047,-0.02765825263278443,-0.03647555543559822,0.008817302802813787,0.740420849667041,0.353168118634184,16.551587203451465,0.16551587203451465,0.36428269610801894,0.9,0.8178586519459905,0.9,10,10,0.17368531227111816,,
Contribution_sector,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.04308908837464469,0.03704231133668848,,-1.5669993194710492,-0.01940608441655937,-0.04137956489045125,-0.03647555543559822,-0.004904009454853031,0.7550781367012339,0.11424943028042464,16.4212440289089,0.16421244028908902,0.4363108299896377,0.9,0.7818445850051812,0.9,10,10,0.2636842727661133,,
LASSO,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.007530269424462905,0.016179258050664495,,-1.291632057687318,-0.004950375635468772,-0.0340241502619526,-0.03647555543559822,0.0024514051736456155,0.5711497511325424,0.1319284056276065,49.097859736449514,0.4909785973644951,0.7396753759737233,0.61,0.6301623120131383,0.61,39,39,1.4166057109832764,,
LASSO_sector,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.010924764129156902,0.01825248561871383,,-1.195165757797716,-0.0072286221450945645,-0.03176961593854799,-0.03647555543559822,0.004705939497050227,0.5738474756224163,0.049673331334037514,44.479269016461195,0.444792690164612,0.6979411546696556,0.61,0.6510294226651723,0.61,39,39,1.7847068309783936,,
MIQP_Gurobi,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.013911501444858317,0.019896044830414086,,-1.3190267969132667,-0.010136612947893468,-0.03402928234934122,-0.03647555543559822,0.0024462730862570004,0.563908892233793,0.19620891898303505,42.97104105572982,0.4297104105572982,0.5272097473362891,0.81,0.7363951263318554,0.81,19,19,1.027111530303955,0.004417442094643214,True
Layered,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.01495940357965403,0.017822604556485152,,-1.4238579906323527,-0.010046929935942975,-0.03678263721228081,-0.03647555543559822,-0.00030708177668259395,0.5744755003423803,0.052548797936298054,41.38064945550839,0.4138064945550839,0.6052324721472321,0.75,0.697383763926384,0.75,25,25,2.110862970352173,0.00451506688329124,True
Stratified,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.010192405544368652,0.015055293814308326,,-1.042146594666548,-0.0032680579800926134,-0.02830951347837929,-0.03647555543559822,0.008166041957218928,0.4367066306977656,0.16061295965253464,53.72269337615988,0.42978154700927906,0.16437395799880247,1.0,0.9178130210005988,1.0,0,0,0.22926998138427734,,
Stratified_sector,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.012796953596007167,0.016754125737703306,,-0.9343630403006162,-0.007665592643500824,-0.025886094964448936,-0.03647555543559822,0.010589460471149281,0.44124449641048435,0.053184437427187224,52.04192694226954,0.41633541553815634,0.20721093036534766,1.0,0.8963945348173261,1.0,0,0,0.33323097229003906,,
MarketCap,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.01030031906683958,0.014197974722515282,,-0.6764605701190448,-0.0021726412647835027,-0.019005426657733082,-0.03647555543559822,0.017470128777865135,0.41208116305919507,0.13101130746616643,60.77955589308781,0.4862364471447025,0.17252647388995554,1.0,0.9137367630550223,1.0,0,0,0.21476316452026367,,
MarketCap_sector,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.012268203747290539,0.016769689531261702,,-0.6637044672840926,-0.006486049658697058,-0.01883307004382806,-0.03647555543559822,0.017642485391770157,0.4410608594061728,0.04734297063247066,56.7065742433209,0.4536525939465672,0.19093328026477813,1.0,0.904533359867611,1.0,0,0,0.29833030700683594,,
