model,K,train_length_days,eval_length_days,TE_annual,TE_annual_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference_oos,asset_active_share,sector_active_share,diversification,bench_diversification,execution_time
MarketCap,125,756,63,0.014780962051120915,0.0192505721710686,-0.017559636139308443,-0.04069498614565792,0.023135350006349475,0.41068204147582943,0.11405711868979646,0.37244302857819533,0.09034232650304058,0.5785584449768066
MarketCap_sector,125,756,63,0.01622370938578776,0.023218559677050606,-0.012037553061798212,-0.04069498614565792,0.028657433083859707,0.401642328141955,0.03970916640621911,0.3800217018059028,0.09034232650304058,0.7879078388214111
Contribution,125,756,63,0.031965774418556796,0.05449061732302178,-0.06260012753491129,-0.04069498614565792,-0.02190514138925337,0.6432338671754387,0.32855425667412896,0.18972825811361504,0.09034232650304058,0.47843122482299805
Contribution_sector,125,756,63,0.04284127173398686,0.06717370925138769,-0.06351326569048732,-0.04069498614565792,-0.0228182795448294,0.6479486722723091,0.11475991262385749,0.17067902797982012,0.09034232650304058,0.7375285625457764
LASSO,125,756,63,0.012239933471940028,0.021490330955297007,-0.027164940788845238,-0.04069498614565792,0.013530045356812681,0.45911334464550213,0.10192518582255586,0.38485058729208366,0.09034232650304058,5.327671051025391
LASSO_sector,125,756,63,0.013738772608439372,0.02377482787398444,-0.023219931371055713,-0.04069498614565792,0.017475054774602206,0.4528443438507682,0.03909288047297888,0.38717435524592253,0.09034232650304058,5.367889404296875
MIQP_Gurobi,125,756,63,0.014985332097990935,0.02522096679246128,-0.029674052350464608,-0.04069498614565792,0.01102093379519331,0.47475425126688564,0.10811563592126847,0.35221376895624373,0.09034232650304058,1.7047569751739502
Layered,125,756,63,0.01575417493764757,0.025575630136629255,-0.02376581597164973,-0.04069498614565792,0.01692917017400819,0.4711177366206318,0.0510310077858506,0.36290359219422674,0.09034232650304058,2.3343446254730225
Stratified,150,756,63,0.014383568819263073,0.02020601788216483,-0.019189473540788926,-0.04069498614565792,0.021505512604868993,0.4086198119711728,0.10611817361975072,0.31087646040142525,0.09034232650304058,0.6817679405212402
Stratified_sector,150,756,63,0.015775906303302382,0.02420298830023651,-0.015030558350314971,-0.04069498614565792,0.025664427795342948,0.3952085099458599,0.04206727931375008,0.31512818652581376,0.09034232650304058,1.09205961227417
MarketCap,150,756,63,0.014046125346637621,0.019098968890946658,-0.016197926986236677,-0.04069498614565792,0.02449705915942124,0.40032563402721255,0.11041385976678797,0.3199763824459147,0.09034232650304058,0.6085422039031982
MarketCap_sector,150,756,63,0.015575170916244144,0.022137408264109107,-0.01152081493252799,-0.04069498614565792,0.02917417121312993,0.39399772544786793,0.04360154116253735,0.3246058484494233,0.09034232650304058,1.0649640560150146
